player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Santiago Castro,Bologna,Serie A,2025-2026,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,3,0
Santiago Colombatto,Oviedo,La Liga,2025-2026,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,6,0
Santiago Giménez,Milan,Serie A,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Santiago Hidalgo,Toulouse,Ligue 1,2025-2026,20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,4,0
Santiago Mouriño,Villarreal,La Liga,2025-2026,63,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,11,1
Santiago Pierotti,Lecce,Serie A,2025-2026,50,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,4,0
Sasa Kalajdzic,Wolves,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sascha Britschgi,Parma,Serie A,2025-2026,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,1
Saud Abdulhamid,Lens,Ligue 1,2025-2026,22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,1
Saúl Coco,Torino,Serie A,2025-2026,33,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,3,0
Saša Lukić,Fulham,Premier League,2025-2026,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,9,0
Scott McTominay,Napoli,Serie A,2025-2026,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0
Sead Kolašinac,Atalanta,Serie A,2025-2026,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,0
Sean Longstaff,Leeds United,Premier League,2025-2026,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Sebastiaan Bornauw,Leeds United,Premier League,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Sebastian Nanasi,Strasbourg,Ligue 1,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Sebastian Otoa,Genoa,Serie A,2025-2026,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Sebastian Sebulonsen,Köln,Bundesliga,2025-2026,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,0
Sebastian Szymański,Rennes,Ligue 1,2025-2026,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Sebastian Walukiewicz,Sassuolo,Serie A,2025-2026,34,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,7,0
Sebastiano Esposito,Cagliari,Serie A,2025-2026,32,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,6,0
Sebastiano Luperto,Cagliari,Serie A,2025-2026,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,0
Sebastiano Luperto,Cremonese,Serie A,2025-2026,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Sebastián Boselli,Getafe,La Liga,2025-2026,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0
Seko Fofana,Rennes,Ligue 1,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Sekou Mara,Auxerre,Ligue 1,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0
Selton Sánchez,Athletic Club,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Semih Kılıçsoy,Cagliari,Serie A,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0
Senne Lammens,Manchester Utd,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Senne Lynen,Werder Bremen,Bundesliga,2025-2026,33,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,4,0
Senny Mayulu,Paris Saint-Germain,Ligue 1,2025-2026,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0
Seny Koumbassa,Toulouse,Ligue 1,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Sepp van den Berg,Brentford,Premier League,2025-2026,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Serge Gnabry,Bayern Munich,Bundesliga,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Sergi Altimira,Real Betis,La Liga,2025-2026,36,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Sergi Cardona,Villarreal,La Liga,2025-2026,31,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0
Sergi Darder,Mallorca,La Liga,2025-2026,12,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Sergi Roberto,Como,Serie A,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Sergio Camello,Rayo Vallecano,La Liga,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,1
Sergio Carreira,Celta Vigo,La Liga,2025-2026,18,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Sergio Gómez,Real Sociedad,La Liga,2025-2026,52,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4,1
Sergio Herrera,Osasuna,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
Sergio Lozano,Levante,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Serhou Guirassy,Dortmund,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3,0
Seydou Fini,Genoa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Shafiq Nandja,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Shea Lacey,Manchester Utd,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sheraldo Becker,Mainz 05,Bundesliga,2025-2026,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Sheraldo Becker,Osasuna,La Liga,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Shuto Machino,Gladbach,Bundesliga,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Sidiki Cherif,Angers,Ligue 1,2025-2026,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,0
Silas Katompa,Mainz 05,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Silvan Widmer,Mainz 05,Bundesliga,2025-2026,27,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,0
Simon Adingra,Monaco,Ligue 1,2025-2026,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Simon Adingra,Sunderland,Premier League,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,0
Simon Ebonog,Le Havre,Ligue 1,2025-2026,21,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,8,0
Simon Sohm,Bologna,Serie A,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Simon Sohm,Fiorentina,Serie A,2025-2026,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Simone Canestrelli,Pisa,Serie A,2025-2026,25,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,0
Simone Perilli,Hellas Verona,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Simone Scuffet,Pisa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sinaly Diomande,Auxerre,Ligue 1,2025-2026,17,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1
Sirlord Conteh,Heidenheim,Bundesliga,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Skelly Alvero,Werder Bremen,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sofiane Boufal,Le Havre,Ligue 1,2025-2026,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0
Sofiane Diop,Nice,Ligue 1,2025-2026,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,0
Sofyan Amrabat,Real Betis,La Liga,2025-2026,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Solly March,Brighton,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Soriba Diaoune,Lille,Ligue 1,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Sota Kawasaki,Mainz 05,Bundesliga,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Souleymane Touré,Lorient,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Soumaïla Coulibaly,Brest,Ligue 1,2025-2026,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Soungoutou Magassa,West Ham United,Premier League,2025-2026,23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0
Souza,Tottenham Hotspur,Premier League,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Stanis Idumbo,Monaco,Ligue 1,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Stanis Idumbo,Sevilla,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Stanislav Lobotka,Napoli,Serie A,2025-2026,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Stanley N'Soki,Union Berlin,Bundesliga,2025-2026,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Steeve Kango,Lyon,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Stefan Bell,Mainz 05,Bundesliga,2025-2026,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,0
Stefan Ortega,Nottingham Forest,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Stefan Posch,Como,Serie A,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Stefan Posch,Mainz 05,Bundesliga,2025-2026,22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,0
Stefan Schimmer,Heidenheim,Bundesliga,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Stefan de Vrij,Inter,Serie A,2025-2026,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Stefano Moreo,Pisa,Serie A,2025-2026,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,0
Stefano Sabelli,Genoa,Serie A,2025-2026,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Stefano Turati,Sassuolo,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Stefanos Tzimas,Brighton,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Stephan El Shaarawy,Roma,Serie A,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Stephan Zagadou,Le Havre,Ligue 1,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1
Stole Dimitrievski,Valencia,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Strahinja Pavlović,Milan,Serie A,2025-2026,26,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0
Suat Serdar,Hellas Verona,Serie A,2025-2026,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Sven Botman,Newcastle United,Premier League,2025-2026,13,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Sven Ulreich,Bayern Munich,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Sávio,Manchester City,Premier League,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Séamus Coleman,Everton,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sékou Doucoure,Nantes,Ligue 1,2025-2026,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Sérigné Diop,Brest,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tadjidine Mmadi,Marseille,Ligue 1,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Taichi Hara,St Pauli,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Taiwo Awoniyi,Nottingham Forest,Premier League,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Tajon Buchanan,Villarreal,La Liga,2025-2026,19,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8,0
Takefusa Kubo,Real Sociedad,La Liga,2025-2026,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Takuma Asano,Mallorca,La Liga,2025-2026,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Takumi Minamino,Monaco,Ligue 1,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Tammy Abraham,Aston Villa,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Tanguy Ndombele,Nice,Ligue 1,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Tanguy Nianzou,Sevilla,La Liga,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1
Tani Oluwaseyi,Villarreal,La Liga,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Tanner Tessmann,Lyon,Ligue 1,2025-2026,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,0
Tarik Muharemovic,Sassuolo,Serie A,2025-2026,24,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7,0
Tariq Lamptey,Fiorentina,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Taufik Seidu,Atlético Madrid,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Tawanda Chirewa,Wolves,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Tay Abed,Levante,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Telli Siwe,Auxerre,Ligue 1,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Terem Moffi,Nice,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Terry Yegbe,Metz,Ligue 1,2025-2026,7,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Tete Morente,Elche,La Liga,2025-2026,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0
Tete Morente,Lecce,Serie A,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Teun Koopmeiners,Juventus,Serie A,2025-2026,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,5,0
Theo Bair,Auxerre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Thiago Almada,Atlético Madrid,La Liga,2025-2026,18,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1
Thiago Borbas,Oviedo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Thiago Fernández,Oviedo,La Liga,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,0
Thiago Pinar,Real Madrid,La Liga,2025-2026,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Thibault De Smet,Paris FC,Ligue 1,2025-2026,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,2
Thibaut Courtois,Real Madrid,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Thierno Barry,Everton,Premier League,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,3,0
Thierry Correia,Valencia,La Liga,2025-2026,21,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,0
Thijs Dallinga,Bologna,Serie A,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Thilo Kehrer,Monaco,Ligue 1,2025-2026,39,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8,2
Thomas Delaine,Le Havre,Ligue 1,2025-2026,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Thomas Keller,Heidenheim,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Thomas Kristensen,Udinese,Serie A,2025-2026,15,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,0
Thomas Lemar,Girona,La Liga,2025-2026,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Thomas Meunier,Lille,Ligue 1,2025-2026,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,0
Thomas Partey,Villarreal,La Liga,2025-2026,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Théo De Percin,Auxerre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Théo Le Bris,Lorient,Ligue 1,2025-2026,28,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Tiago Gabriel,Lecce,Serie A,2025-2026,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,0
Tiago Gouveia,Nice,Ligue 1,2025-2026,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0
Tiago Santos,Lille,Ligue 1,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0
Tiago Tomás,Stuttgart,Bundesliga,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Tidiam Gomis,RB Leipzig,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Tidiane Devernois,Auxerre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tijjani Noslin,Lazio,Serie A,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1
Tijjani Reijnders,Manchester City,Premier League,2025-2026,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,0
Tim Iroegbunam,Everton,Premier League,2025-2026,42,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,9,0
Tim Kleindienst,Gladbach,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Tim Lemperle,Hoffenheim,Bundesliga,2025-2026,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3,1
Tim Oermann,Leverkusen,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tim Schnitzer,Augsburg,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tim Siersleben,Heidenheim,Bundesliga,2025-2026,16,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Tim Skarke,Union Berlin,Bundesliga,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Timo Hübers,Köln,Bundesliga,2025-2026,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Timo Werner,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Timothee Pembele,Le Havre,Ligue 1,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Timothy Castagne,Fulham,Premier League,2025-2026,23,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Timothy Chandler,Eintracht Frankfurt,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Timothy Weah,Marseille,Ligue 1,2025-2026,35,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5,0
Timothée Kolodziejczak,Paris FC,Ligue 1,2025-2026,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Tjaš Begić,Parma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tobias Slotsager,Hellas Verona,Serie A,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Tobias Weigel,Heidenheim,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tochukwu Nnadi,Marseille,Ligue 1,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Tolu Arokodare,Wolves,Premier League,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0
Tom Bischof,Bayern Munich,Bundesliga,2025-2026,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Tom Cairney,Fulham,Premier League,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Tom Edozie,Wolves,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tom Krauß,Köln,Bundesliga,2025-2026,43,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Tom Louchet,Nice,Ligue 1,2025-2026,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,1
Tom Rothe,Union Berlin,Bundesliga,2025-2026,15,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1
Tom Watson,Brighton,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Toma Bašić,Lazio,Serie A,2025-2026,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1
Tomas Marques,Barcelona,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Tommaso Baldanzi,Genoa,Serie A,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Tommaso Baldanzi,Roma,Serie A,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Tommaso Barbieri,Cremonese,Serie A,2025-2026,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,8,0
Tommaso Pobega,Bologna,Serie A,2025-2026,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2,1
Tomoya Ando,St Pauli,Bundesliga,2025-2026,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
Tomás Esteves,Pisa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tomáš Souček,West Ham United,Premier League,2025-2026,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3,1
Tomáš Suslov,Hellas Verona,Serie A,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1
Toni Fernández,Barcelona,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Toni Lato,Mallorca,La Liga,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0
Toni Martínez,Alavés,La Liga,2025-2026,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2,0
Torbjørn Heggem,Bologna,Serie A,2025-2026,19,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,1
Tosin Adarabioyo,Chelsea,Premier League,2025-2026,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Tosin Aiyegun,Lorient,Ligue 1,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Toti Gomes,Wolves,Premier League,2025-2026,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,1
Trai Hume,Sunderland,Premier League,2025-2026,45,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,9,0
Trent Alexander-Arnold,Real Madrid,La Liga,2025-2026,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Trevoh Chalobah,Chelsea,Premier League,2025-2026,22,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,1
Trey Nyoni,Liverpool,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tuomas Ollila,Paris FC,Ligue 1,2025-2026,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Tylel Tati,Nantes,Ligue 1,2025-2026,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1
Tyler Adams,Bournemouth,Premier League,2025-2026,20,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,7,0
Tyler Dibling,Everton,Premier League,2025-2026,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Tyler Fletcher,Manchester Utd,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tyler Fredricson,Manchester Utd,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tyler Morton,Lyon,Ligue 1,2025-2026,29,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,6,1
Tyrell Malacia,Manchester Utd,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tyrese Noubissié,Strasbourg,Ligue 1,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Tyrhys Dolan,Espanyol,La Liga,2025-2026,33,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,7,1
Tyrick Mitchell,Crystal Palace,Premier League,2025-2026,65,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,0
Tyrique George,Chelsea,Premier League,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Tyrique George,Everton,Premier League,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Tyrone Mings,Aston Villa,Premier League,2025-2026,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Uchenna Ogundu,Augsburg,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ugo Lamare,Marseille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ugo Raghouber,Levante,La Liga,2025-2026,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
